old,new
thankyou,terimakasih
dikasi,beri
tau,tahu
gabisa,tidak bisa
gaada,tidak ada
lg,lagi
gada,tidak ada
pake,pakai
bnr,benar
klo,kalau
dmn,dimana
dapet,dapat
nanya,tanya
dipake,pakai
emang,memang
okay,ya
thx,terimakasih
tq,terimakasih
sngt,sangat
sgt,sangat
bgtttt,sangat
bngt,sangat
jln,jalan
naek,naik
tokped,tokopedia
belom,belum
kemaren,kemarin
liat,lihat
topup,top up
account,akun
mantul,mantap
discount,diskon
sdh,sudah
duit,uang
karna,karena
wagelaseh,mantap
pesen,pesan
rebu,ribu
simple,simpel
best,bagus
lope,suka
lgi,lagi
krna,karena
drpd,daripada
hepi,senang
thanks,terimakasih
buy,beli
disc,diskon
shopping,belanja
milih,pilih
trs,terus
bnyak,banyak
untung pake,untung pakai
sudh,sudah
udh,sudah
nikmatin,nikmat
temanteman,teman teman
back,kembali
perjalan,perjalanan
cashkembali,cash kembali
gampah,mudah
sampe,sampai
temen,teman
pakaik,pakai
pke,pakai
mantab,mantap
ngtidak,tidak
enggak,tidak
trus,terus
jalanjalan,jalan jalan
jdi,jadi
cashkembalinya,cash kembali
anter,antar
gaperlu,tidak perlu
emak,ibu
cepet,cepat
kmn,kemana
gabawa,tidak bawa
gausah,tidak perlu
byr,bayar
lagii,lagi
dehh,deh
bnyk,banyak
ntidak,tidak
smemangat,semangat
thank,terimakasih
deket,dekat
engga,tidak
menikmat,menikmati
mw,mau
bangettt,sangat
smpe,sampai
ojol,ojek online
terkejoed,terkejut
kmana,kemana
thx,terimakasih
ajaa,saja
cuss,pergi
mempersudah,mudah
bnget,sangat
hematt,hemat
hemattt,hemat
beliin,beli
smenjak,semenjak
bangett,sangat
terusss,terus
maap,maaf
irittt,irit
mantep,mantap
ajah,saja
ampe,sampai
murahhh,murah
mayan,lumayan
lbih,lebih
hrs,harus
gilaaa,gila
bangeet,sangat
maen,main
skrng,sekarang
ortu,orang tua
gmn,bagaimana
klau,kalau
gilak,gila
semanjak,semenjak
lagisg,lagi
horang,orang
bangetttt,sangat
dateng,datang
bwt,buat
macem,macam
brooo,bro
nyangka,sangka
restahurant,restoran
bingits,sangat
bisaaaaaaa,bisa
murce,murah
pkek,pakai
cmn,Cuma
kmna,kemana
kyk,seperti
untungpakai,untung pakai
gegara,karena
slalu,selalu
pinter,pintar
garibet,tidak ribet
makai,pakai
mesan,pesan
mevvah,mewah
ilang,hilang
mna,mana
iritt,irit
guyss,guys
murmer,murah
mantabl,mantap
gapernah,tidak pernah
kenyaaang,kenyang
maksi,makan siang
anakanak,anak anak
bgd,sangat
nggk,tidak
lage,lagi
ksana,kesana
muraaaah,murah
trimakasih,terimakasih
dooong,dong
hemaaat,hemat
jadii,jadi
demen,suka
bkin,buat
ttp,tetap
laen,lain
markotop,sangat
hemaaaaat,hemat
jugaa,juga
iritttt,irit
bgtt,sangat
banget,sangat
bangeeet,sangat
skolah,sekolah
ngirim,kirim
bosen,bosan
iyaa,iya
caskembali,cash kembali
kawatir,khawatir
wahh,wah
hbs,habis
abisabis,habis
makanmakan,makan makan
melulu,selalu
apalagii,apalagi
bangettttt,sangat
lhooo,lho
guysburuan,guys buruan
sekarg,sekarang
dlu,dulu
rmh,rumah
ksini,kesini
sekalehhhhh,sekali
mantabh,mantap
hematmau,hemat mau
blnja,belanja
semnjak,semenjak
brani,berani
pasan,pesan
mantabll,mantap
pulak,pula
banged,sangat
muraaah,murah
dipermsudah,mudah
grgr,garagara
gapunya,tidak punya
benarbenar,benar benar
kluar,keluar
murahhhhh,murah
bangat,sangat
kdg,kadang
oake,oke
skarang,sekarang
ajaaa,aja
ramerame,rame
gausa,tidak perlu
gatahu,tidak tahu
dimsudahkan,mudah
katidak,tidak
perantahuan,rantau
brangkat,berangkat
knp,kenapa
trima,terima
itungitung,hitung
bingit,sangat
goodluck,good luck
khwatir,khawatir
mmg,memang
bangeeeet,sangat
guysssss,guys
irittttt,irit
diskonon,diskon
hematnyaa,hemat
muraah,murah
terimakasihh,terimakasih
seneng,senang
semejak,semenjak
antarin,antar
kuatir,khawatir
malem,malam
sangattt,sangat
siangmal,siang
rame,ramai
sangatt,sangat
food,makan
lulumayan,lumayan
gooduluck,good luck
luv,love
love,suka
ngluarin,keluar
muluu,mulu
byebye,bye
gampang,mudah
terimakasi,terimakasih
terimakasihh,terimakasih
point,poin
gak,tidak
nggak,tidak
ngak,tidak
kagak,tidak
gakk,tidak
gede,besar
bokekbtl,bokek
kekinian,hits
ngerti,tahu
rantahu,rantau
smuanya,semua
smnjak,semenjak
smakin,semakin
smg,semoga
paspesan,cukup
murahh,murah
hematt,hemat
pny,punya
pnya,punya
gilakk,gila
tidakk,tidak
anggaran,biaya
gilaa,gila
buruburu,buru buru
rbu,ribu
emol,mall
promoaa,promo
promopromo,promo promo
mol,mall
dahsyat,mantap
sya,saya
custumer,customer
tmn,teman
mantapp,mantap
doangg,doang
kaga,tidak
mantapl,mantap
ngtidak,tidak
berlipatlipat,berlipat
kocek,dompet
euyyy,euy
ngtidak,tidak
gtidakman,tidak
terimakasihu,terimakasih
kosterimakasih,terimakasih
mmemang,memang
hhilang,hilang
ibuibu,ibu ibu
bhilang,bilang
sangking,saking
dekatdengan,dekat dengan
gengsss,guys
jelong,jalan
dongg,dong
sangatss,sangat
nongki,nongkrong
gretong,gratis
kmemang,kemang
bangget,banget
senanggg,senang
pesang,pesan
seringsering,sering sering
tengkyu,terimakasih
lngsung,langsung
semangatmau,semangat mau
sangatapalagi,sangat apalagi
emng,memang
akte,akta
bp,bapak
sampe,sampai
sayarat,syarat
berlakun,berlaku
masayarakat,masyarakat
dukcapil,dispenduk
dispendukcapil,dispenduk
blanko,blangko
kawin,nikah
mksh,makasih
prihal,perihal
adminitrasi,administrasi
dispendukpenduk,dispenduk
dispendukdispenduk,dispenduk
dispendispenduk,dispenduk
sy,saya
sdh,sudah
bbrp,beberapa
utk,untuk
mhn,mohon
org,orang
olh,oleh
yg,yang
jg,juga
kpd,kepada
tgl,tanggal
bln,bulan
sm,sama
dg,dengan
sby,surabaya
bhwa,bahwa
bhw,bahwa
lgi,lagi
msh,masih
ats,atas
jl,jalan
aka1,kartukuning
kartu kuning,kartukuning
kartu tanda pencari kerja,kartukuning
kartu pencari kerja,kartukuning
nggu,nunggu
slesei,selesai
dgn,dengan
bgtu,begitu
suket,surat keterangan
trima,terima
trm,terima
polisi tidur,speedtrap
pd,pada
kmarin,kemarin
kmrn,kemarin
gg,gang
lht,lihat
puskesamaas,puskesmas
stelah,setelah
manganga,mangga
ersayaaratan,persyaratan
sdengankan,sedangkan
airlanganga,airlangga
psyarat,persyaratan
ditunungangu,ditunggu
menunungangu,menunggu
sekal,sekali
risamaa,risma
terimaksih,terimakasih
pendafarannya,pendaftarannya
sehinganga,sehingga
bapakkb,bapak
masayarkat,masyarakat
ktpel,ktp
carany,caranya
prsetujuan,persetujuan
selanjutny,selanjutnya
infonyaaaaaaa,infonya
cpt,cepat
apalag,apalagi
tlagi,lagi
tinngi,tinggi
adlh,adalah
kksaya,kk
shilang,hilang
selsai,selsai
trdaftar,terdaftar
trnyata,ternyata
teralalu,terlalu
meingangalkan,meninggalkan
keajadiyan,kejadian
metanyakan,menanyakan
kasihadministrasi,administrasi
menungangunakan,menggunakan
lobang,lubang
berlobang,berlubang
harga,biaya
tangangapan,tanggapan
ppersyaratan,persyaratan
sayaarat,syarat
pagisurat,surat
upadaate,update
caranyaa,caranya
ktpunyaa,ktpnya
sayakenapa,saya kenapa
sayaarat,syarat
meningangal,meninggal
tegalsaridijanjikan,tegalsari dijanjikan
surabayaterus,surabaya terus
form,formulir
masayaarakat,masyarakat
working,kerja
bubutandan,bubutan dan
suwon,terimakasih
bener,benar
bagaimanaa,bagaimana
sblmny,sebelumnya
yaainfo,ya info
disdispenduk,dispenduk
sayaaratnya,syaratnya
ngurusin,ngurus
pamanya,paman
sarat,syarat
dbuatkan,dibuatkan
atidak,tidak
dengann,dengan
pebgurusan,pengurusan
srt,surat
brpa,berapa
tks,terimakasih
diknas,dinas
caranyaamohon,caranya
amana,amanah
wargaorang,warga orang
office,kantor
minini,minim
adad,ada
ditangangapi,ditanggapi
nungangu,nunggu
dtang,datang
ektpnya,ektp
padahl,padahal
lejas,jelas
sekaliian,sekalian
informulirasinya,informasi
informulirasi,informasi
untk,untuk
ssamapai,sampai
praktak,praktik
formulirulir,formulir
kecamatankk,kecamatan
dikecamatan,kecamatan
penungguna,pengguna
sampa,sampah
indormasinya,informasinya
hri,hari
padan,padam
kk,kartukeluarga
gorong,selokan
goronggorong,selokan
ektpsaat,ektp
ewadulada,ewadul
mndapatkan,mendapatkan
siangmaaf,siang maaf
kmbali,kembali
pasl,pasti
telp,telpon
bsa,bisa
dminta,diminta
document,dokumen
laik,lain
kartukuningnya,kartukuning
terkahir,terakhir
notifkasi,notifikasi
dirw,rw
sampa,sampah
dimanaa,dimana
bantuannya,bantuan
megurus,mengurus
sampahil,sampah
tagangal,tanggal
tlpn,telepon
mksih,makasih
tny,tanya
almh,almarhum
nyakin,yakin
pangangilan,panggilan
thilang,tilang
reapon,respon
tertangangal,tertanggal
sampahhi,sampah
prosedurpersyaratan,prosedur persyaratan
ktpnya,ktp
kecamatanpetugas,kecamatan petugas
sampahhh,sampah
selanjutanyaa,selanjutnya
melegalisir,legalisir
makasie,makasih
berlakuya,berlakunya
begimana,bagaimana
debirokratisasi,birokrasi
public,publik
service,pelayanan
pelangangan,pelanggaran
syaratanyaa,syarat
assalamualainum,assalamualaikum
dicetakapakah,dicetak apakah
dtg,datang
habistd,habis
skr,sekarang
aparteman,apartemen
slmat,selamat
salinantarima,salin
tutidakan,tiadakan
direspon,respon
cepatanyaa,cepat
disepanjang,sepanjang
kenyamanahn,kenyamanan
apartment,apartemen
matimulai,mati
seoanjang,sepanjang
padamg,padam
expired,mati
expire,mati
brapa,berapa
kartukeluargas,kartukeluarga
pembuatanya,buat
pengambilanya,ambil
skali,sekali
sekarangk,sekarang
perosedurnya,prosedur
tetapai,tetapi
pernyaataan,pernyataan
ank,anak
tlng,tolong
bbagaimana,bagaimana
selanjutnyaa,selanjutnya
dftrkan,daftarkan
dokterbidan,dokter bidan
disurabaya,surabaya
pertanyannya,pertanyaannya
shg,sehingga
lagis,lagi
ngangih,nagih
sunungguh,sungguh
selsai,selesai
selesa,selesai
sampahsampah,sampah
sampahl,sampah
sampa,sampah
sekarangg,sekarang
diiklanakan,iklan
pavingisasi,paving
sesunguhnya,sesungguhnya
msampaht,sampah
plihan,pilihan
slh,salah
stu,satu
light,lampu
pavingnya,paving
padam,mati
padaam,mati
selokananselokan,selokan
tangap,tanggap
selokananselokanselokanuntuk,selokan
agr,agar
jngn,jangan
spy,supaya
bleh,boleh
samaa,sama
memasukartukeluargaan,kartukeluarga
lengkapinsampahh,sampah
sampahh,sampah
sampa,sampah
ngurusnya,urus
bantuanya,bantuan
ditandatangani,tanda tangan
samap,sama
sdengan,dengan
sulitanyaa,sulit
disetujui,setuju
kelurahannya,kelurahan
sekal,sekali
temanaku,temanku
keluarahan,kelurahan
sekaliigus,sekaligus
nomernya,nomer
kekelurahan,kelurahan
kartukeluargaini,kartukeluarga
siolacapek,siola
baharu,baru
kartukuninga,kartukuning
prngamblan,pengambilan
tingangalnya,tanggalnya
teimakasih,terimakasih
melelui,melalui
samaua,sama
persayaratannya,syarat
kelurahaan,kelurahan
dikecamtan,kecamatan
kmrin,kemarin
kntor,kantor
hrus,harus
kecamtan,kecamatan
dikecamtan,kecamatan
penpanjangnya,perpanjangan
komputereh,komputer
selesa,selesai
samak,sama
harapanan,harapan
ragajika,raga
ragasebenarnya,raga
ragawan,raga
pnerangan,penerangan
tmpat,tempat
sblm,sebelum
teribuka,terbuka
tirtoasr,tirtoasri
trlalu,terlalu
membahaykan,membahayakan
terrealisasi,terealisasi
gelapcoba,gelap
nnti,nanti
sngat,sangat
mengfasilitasi,memfasilitasi
mnghindari,menghindari
ditraffic,traffic
jpu,pju
terimaadministrasi,terima administrasi
yaadministrasi,ya administrasi
surabayaadministrasi,surabaya administrasi
